"2021-01-02 19:10:50,970",186,79812,92.8,241,0.044988
"2021-01-02 19:11:02,151",187,80335,43.4,106,0.044754
"2021-01-02 19:11:09,215",188,80668,27.6,65,0.044605
"2021-01-02 19:11:16,350",189,81001,28.6,66,0.044456
"2021-01-02 19:11:22,817",190,81296,23.5,60,0.044325
"2021-01-02 19:11:37,710",191,81988,57.1,144,0.044020
"2021-01-02 19:11:49,639",192,82555,47.7,113,0.043771
"2021-01-02 19:11:55,004",193,82811,20.9,49,0.043659
"2021-01-02 19:12:14,081",194,83712,72.8,188,0.043268
"2021-01-02 19:12:29,526",195,84441,59.2,149,0.042954
"2021-01-02 19:12:48,369",196,85308,70.9,185,0.042583
"2021-01-02 19:12:56,247",197,85686,31.3,73,0.042423
"2021-01-02 19:13:16,449",198,86278,51.1,200,0.042173
"2021-01-02 19:13:28,975",199,86894,52.6,119,0.041914
"2021-01-02 19:13:37,248",200,87299,33.7,77,0.041744
"2021-01-02 19:13:42,641",201,87564,22.4,49,0.041634
"2021-01-02 19:14:00,049",202,88402,70.3,170,0.041287
"2021-01-02 19:14:08,858",203,88824,34.9,82,0.041113
"2021-01-02 19:14:42,324",204,90408,130.8,351,0.040468
"2021-01-02 19:14:49,378",205,90756,29.6,65,0.040327
"2021-01-02 19:15:24,034",206,92424,140.3,366,0.039661
"2021-01-02 19:16:01,252",207,94193,147.1,397,0.038967
"2021-01-02 19:16:10,261",208,94638,37.9,84,0.038794
"2021-01-02 19:16:35,985",209,95859,99.8,261,0.038324
"2021-01-02 19:16:52,425",210,96648,66.4,160,0.038024
"2021-01-02 19:16:57,062",211,96876,19.4,42,0.037937
"2021-01-02 19:17:05,044",212,97244,31.2,74,0.037798
"2021-01-02 19:17:26,529",213,98269,85.8,214,0.037413
"2021-01-02 19:17:33,715",214,98628,31.1,67,0.037279
"2021-01-02 19:17:54,799",215,99649,86.3,209,0.036901
"2021-01-02 19:17:59,386",216,99862,16.5,42,0.036822
"2021-01-02 19:18:23,123",217,100988,93.3,238,0.036410
"2021-01-02 19:18:45,709",218,102073,90.5,226,0.036018
"2021-01-02 19:19:11,822",219,103302,99.4,265,0.035579
"2021-01-02 19:19:40,656",220,104639,111.3,297,0.035108
"2021-01-02 19:20:10,949",221,106073,118.5,313,0.034609
"2021-01-02 19:20:21,977",222,106583,42.3,104,0.034433
"2021-01-02 19:20:46,762",223,107732,97.8,250,0.034040
"2021-01-02 19:21:03,825",224,108512,67.0,166,0.033776
"2021-01-02 19:21:10,706",225,108834,26.6,64,0.033668
"2021-01-02 19:21:33,837",226,109922,89.2,232,0.033304
"2021-01-02 19:21:54,519",227,110881,79.8,205,0.032987
"2021-01-02 19:22:19,673",228,112057,97.1,255,0.032602
"2021-01-02 19:22:44,870",229,113229,99.7,255,0.032223
"2021-01-02 19:23:01,856",230,114047,68.5,166,0.031961
"2021-01-02 19:23:37,030",231,115689,135.8,372,0.031442
"2021-01-02 19:24:13,079",232,117386,142.6,383,0.030914
"2021-01-02 19:24:27,545",233,118075,57.4,139,0.030702
"2021-01-02 19:24:32,924",234,118335,21.7,49,0.030622
"2021-01-02 19:24:39,719",235,118647,24.4,63,0.030527
"2021-01-02 19:24:48,942",236,119073,33.6,86,0.030397
"2021-01-02 19:25:10,716",237,120079,80.8,217,0.030094
"2021-01-02 19:25:23,171",238,120653,44.8,119,0.029922
"2021-01-02 19:25:32,827",239,121115,38.1,91,0.029784
"2021-01-02 19:25:49,672",240,121910,64.9,164,0.029549
"2021-01-02 19:26:22,891",241,123436,126.7,348,0.029103
"2021-01-02 19:26:39,576",242,124224,66.2,162,0.028875
"2021-01-02 19:26:49,901",243,124706,40.0,97,0.028736
"2021-01-02 19:27:24,516",244,126377,140.5,365,0.028261
"2021-01-02 19:28:08,761",245,128515,181.6,486,0.027665
"2021-01-02 19:28:26,935",246,129360,70.0,178,0.027433
"2021-01-02 19:28:38,339",247,129900,46.4,108,0.027285
"2021-01-02 19:28:59,325",248,130893,85.4,208,0.027017
"2021-01-02 19:29:22,320",249,131948,86.5,230,0.026734
"2021-01-02 19:29:34,174",250,132500,45.8,113,0.026587
"2021-01-02 19:29:48,420",251,133155,53.7,137,0.026414
"2021-01-02 19:30:00,619",252,133742,49.1,116,0.026260
"2021-01-02 19:30:10,526",253,134216,39.5,93,0.026136
"2021-01-02 19:30:55,768",254,136356,180.1,499,0.025584
"2021-01-02 19:31:08,307",255,136944,48.5,120,0.025434
"2021-01-02 19:31:13,832",256,137203,20.4,51,0.025369
"2021-01-02 19:31:27,700",257,137856,52.5,133,0.025204
"2021-01-02 19:31:34,316",258,138172,25.7,61,0.025124
"2021-01-02 19:31:42,245",259,138548,30.3,74,0.025030
"2021-01-02 19:31:55,709",260,139204,55.0,129,0.024867
"2021-01-02 19:32:01,701",261,139492,23.1,55,0.024796
"2021-01-02 19:32:07,235",262,139761,21.9,51,0.024729
"2021-01-02 19:32:13,395",263,140047,21.6,57,0.024658
"2021-01-02 19:32:47,817",264,141698,139.2,363,0.024256
"2021-01-02 19:32:56,449",265,142101,31.7,81,0.024159
"2021-01-02 19:33:19,685",266,143234,97.7,233,0.023887
"2021-01-02 19:33:35,561",267,143999,63.7,154,0.023706
"2021-01-02 19:33:42,166",268,144298,24.3,61,0.023635
"2021-01-02 19:34:18,347",269,146030,145.9,384,0.023231
"2021-01-02 19:34:41,181",270,146723,58.8,229,0.023071
"2021-01-02 19:34:50,505",271,147181,38.6,87,0.022966
"2021-01-02 19:35:28,341",272,148989,150.4,404,0.022556
"2021-01-02 19:36:10,979",273,151053,175.3,465,0.022097
"2021-01-02 19:36:37,481",274,152336,108.7,270,0.021816
"2021-01-02 19:36:53,325",275,153081,62.1,153,0.021655
"2021-01-02 19:37:27,475",276,154728,141.9,359,0.021302
"2021-01-02 19:37:49,818",277,155820,93.8,223,0.021072
"2021-01-02 19:37:58,020",278,156217,33.4,76,0.020989
"2021-01-02 19:38:09,174",279,156758,46.0,106,0.020876
"2021-01-02 19:38:45,702",280,158539,152.3,388,0.020509
"2021-01-02 19:38:52,441",281,158866,26.9,62,0.020442
"2021-01-02 19:38:58,935",282,159188,27.7,60,0.020376
"2021-01-02 19:39:10,113",283,159748,49.8,106,0.020263
"2021-01-02 19:39:30,144",284,160727,83.9,198,0.020066
"2021-01-02 19:39:49,880",285,161698,84.1,195,0.019873
"2021-01-02 19:40:26,559",286,163468,150.9,390,0.019526
"2021-01-02 19:41:00,862",287,164468,89.0,361,0.019332
"2021-01-02 19:41:24,231",288,165606,97.6,235,0.019115
"2021-01-02 19:41:43,407",289,166564,84.8,189,0.018933
"2021-01-02 19:42:09,341",290,167799,106.2,263,0.018702
"2021-01-02 19:42:16,799",291,168149,28.5,69,0.018637
"2021-01-02 19:42:22,472",292,168407,19.5,52,0.018589
"2021-01-02 19:42:55,237",293,170013,139.8,343,0.018294
"2021-01-02 19:43:14,052",294,170934,80.0,185,0.018127
"2021-01-02 19:43:31,607",295,171775,70.9,171,0.017976
"2021-01-02 19:43:41,784",296,172260,40.4,96,0.017889
"2021-01-02 19:43:57,326",297,173009,63.0,150,0.017756
"2021-01-02 19:44:07,741",298,173517,42.8,98,0.017667
"2021-01-02 19:44:45,939",299,175402,166.8,409,0.017338
"2021-01-02 19:45:10,086",300,176586,103.2,243,0.017135
"2021-01-02 19:45:32,571",301,177708,99.0,225,0.016945
"2021-01-02 19:46:06,956",302,179382,145.2,362,0.016665
"2021-01-02 19:46:22,238",303,180119,62.7,148,0.016544
"2021-01-02 19:46:42,303",304,181115,87.3,198,0.016380
"2021-01-02 19:47:17,434",305,182848,153.4,371,0.016101
"2021-01-02 19:47:52,919",306,184626,159.8,376,0.015818
"2021-01-02 19:48:04,503",307,185201,49.5,110,0.015728
"2021-01-02 19:48:10,120",308,185475,23.0,52,0.015685
"2021-01-02 19:48:20,883",309,185997,44.5,102,0.015604
